x,Cf,Cf_theory
0.00264561,0.0628453,0.0159367
0.00798975,0.0221987,0.00917052
0.0134408,0.014081,0.00707047
0.0190008,0.0106811,0.00594668
0.0246721,0.0086801,0.00521865
0.0304567,0.00735939,0.00469698
0.0363571,0.00642136,0.00429899
0.0423755,0.00571895,0.00398202
0.0485142,0.00517196,0.00372157
0.0547757,0.00473298,0.00350241
0.0611624,0.00437216,0.0033145
0.0676769,0.00406978,0.00315094
0.0743217,0.00381226,0.00300679
0.0810993,0.00358997,0.00287841
0.0880125,0.00339586,0.00276305
0.095064,0.00322466,0.0026586
0.102257,0.00307235,0.00256339
0.109593,0.00293582,0.00247611
0.117076,0.00281261,0.00239567
0.124709,0.00270073,0.0023212
0.132494,0.00259861,0.00225197
0.140435,0.00250494,0.00218737
0.148535,0.00241864,0.00212689
0.156797,0.00233881,0.0020701
0.165224,0.00226469,0.00201662
0.17382,0.00219566,0.00196612
0.182588,0.00213116,0.00191834
0.191531,0.00207072,0.00187302
0.200652,0.00201394,0.00182995
0.209957,0.00196047,0.00178894
0.219447,0.00191,0.00174983
0.229127,0.00186226,0.00171247
0.239001,0.00181702,0.00167672
0.249072,0.00177407,0.00164247
0.259345,0.00173323,0.00160961
0.269823,0.00169432,0.00157805
0.280511,0.00165721,0.0015477
0.291412,0.00162175,0.00151847
0.302532,0.00158783,0.00149031
0.313873,0.00155535,0.00146313
0.325442,0.00152421,0.00143689
0.337242,0.00149432,0.00141153
0.349278,0.0014656,0.00138699
0.361555,0.00143797,0.00136324
0.374077,0.00141139,0.00134023
0.38685,0.00138578,0.00131792
0.399878,0.00136109,0.00129627
0.413167,0.00133727,0.00127526
0.426722,0.00131428,0.00125484
0.440547,0.00129208,0.00123499
0.45465,0.00127063,0.00121569
0.469034,0.0012499,0.0011969
0.483706,0.00122986,0.00117861
0.498671,0.00121048,0.00116079
0.513936,0.00119174,0.00114342
0.529506,0.00117362,0.00112648
0.545387,0.0011561,0.00110996
0.561586,0.00113916,0.00109384
0.578109,0.0011228,0.00107809
0.594962,0.00110701,0.00106271
0.612153,0.00109177,0.00104768
0.629687,0.00107709,0.00103299
0.647572,0.00106297,0.00101863
0.665815,0.00104941,0.00100458
0.684422,0.00103642,0.000990829
0.703402,0.001024,0.00097737
0.722761,0.00101218,0.000964191
0.742508,0.00100098,0.000951284
0.762649,0.000990407,0.000938638
0.783193,0.000980503,0.000926245
0.804148,0.000971297,0.000914097
0.825523,0.000962825,0.000902186
0.847324,0.00095513,0.000890504
0.869562,0.000948254,0.000879043
0.892244,0.000942242,0.000867798
0.91538,0.000937131,0.000856761
0.938979,0.000932941,0.000845926
0.96305,0.000929616,0.000835288
0.987602,0.000925641,0.00082484
