x_in, p_psi
1.81229, 0.702332
4.89319, 0.702332
7.04981, 0.702332
8.55945, 0.702332
9.6162, 0.702332
10.3559, 0.702332
10.8737, 0.702332
11.2362, 0.702332
11.4899, 0.702332
11.6675, 0.702332
11.7919, 0.702332
11.8789, 0.702332
11.9398, 0.702308
11.9824, 0.702168
12.0094, 0.471862
12.0296, 0.368593
12.0529, 0.3086
12.0796, 0.210934
12.1104, 0.216724
12.1458, 0.1767
12.1865, 0.203127
12.2332, 0.209741
12.287, 0.219402
12.3489, 0.214757
12.4201, 0.220942
12.5019, 0.22473
12.596, 0.227549
12.7042, 0.229456
12.8286, 0.230298
12.9718, 0.231886
13.1363, 0.230902
13.3256, 0.230661
13.5432, 0.230698
13.7935, 0.230793
14.0814, 0.231515
14.4124, 0.232827
14.7931, 0.23223
15.2309, 0.232708
15.7343, 0.232417
16.3133, 0.230984
16.9791, 0.23128
17.7448, 0.231512
18.6253, 0.231684
19.6379, 0.231523
20.8024, 0.231864
22.1416, 0.232144
23.6816, 0.231871
25.4527, 0.232018
